"year","president","party"
1789,"George Washington","Federalist"
1790,"George Washington","Federalist"
1791,"George Washington","Federalist"
1792,"George Washington","Federalist"
1793,"George Washington","Federalist"
1794,"George Washington","Federalist"
1795,"George Washington","Federalist"
1796,"George Washington","Federalist"
1797,"John Adams","Federalist"
1798,"John Adams","Federalist"
1799,"John Adams","Federalist"
1800,"John Adams","Federalist"
1801,"Thomas Jefferson","Democratic Republican"
1802,"Thomas Jefferson","Democratic Republican"
1803,"Thomas Jefferson","Democratic Republican"
1804,"Thomas Jefferson","Democratic Republican"
1805,"Thomas Jefferson","Democratic Republican"
1806,"Thomas Jefferson","Democratic Republican"
1807,"Thomas Jefferson","Democratic Republican"
1808,"Thomas Jefferson","Democratic Republican"
1809,"James Madison","Democratic Republican"
1810,"James Madison","Democratic Republican"
1811,"James Madison","Democratic Republican"
1812,"James Madison","Democratic Republican"
1813,"James Madison","Democratic Republican"
1814,"James Madison","Democratic Republican"
1815,"James Madison","Democratic Republican"
1816,"James Madison","Democratic Republican"
1817,"James Monroe","Democratic Republican"
1818,"James Monroe","Democratic Republican"
1819,"James Monroe","Democratic Republican"
1820,"James Monroe","Democratic Republican"
1821,"James Monroe","Democratic Republican"
1822,"James Monroe","Democratic Republican"
1823,"James Monroe","Democratic Republican"
1824,"James Monroe","Democratic Republican"
1825,"John Quincy Adams","Democratic Republican"
1826,"John Quincy Adams","Democratic Republican"
1827,"John Quincy Adams","Democratic Republican"
1828,"John Quincy Adams","Democratic Republican"
1829,"Andrew Jackson","Democratic"
1830,"Andrew Jackson","Democratic"
1831,"Andrew Jackson","Democratic"
1832,"Andrew Jackson","Democratic"
1833,"Andrew Jackson","Democratic"
1834,"Andrew Jackson","Democratic"
1835,"Andrew Jackson","Democratic"
1836,"Andrew Jackson","Democratic"
1837,"Martin Van Buren","Democratic"
1838,"Martin Van Buren","Democratic"
1839,"Martin Van Buren","Democratic"
1840,"Martin Van Buren","Democratic"
1841,"John Tyler","Whig"
1842,"John Tyler","Whig"
1843,"John Tyler","Whig"
1844,"John Tyler","Whig"
1845,"James K. Polk","Democratic"
1846,"James K. Polk","Democratic"
1847,"James K. Polk","Democratic"
1848,"James K. Polk","Democratic"
1849,"Zachary Taylor","Whig"
1850,"Millard Fillmore","Whig"
1851,"Millard Fillmore","Whig"
1852,"Millard Fillmore","Whig"
1853,"Franklin Pierce","Democratic"
